GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
vernite,dev.vernite.vernite.integration.git,Branch,13,0,0,0,6,0,3,0,3,0
vernite,dev.vernite.vernite.integration.git,PullAction,7,15,0,0,3,2,2,1,2,1
vernite,dev.vernite.vernite.integration.git,Issue,23,43,0,0,12,16,6,8,6,8
vernite,dev.vernite.vernite.integration.git,IssueAction,7,21,0,0,3,2,2,1,2,1
vernite,dev.vernite.vernite.integration.git,IssueActionDeserializer,28,3,3,0,7,1,3,1,1,1
vernite,dev.vernite.vernite.integration.git,PullActionDeserializer,21,3,2,0,6,1,2,1,1,1
vernite,dev.vernite.vernite.integration.git,GitTaskService,81,42,8,2,18,8,13,6,7,6
vernite,dev.vernite.vernite.integration.git,PullRequest,10,11,0,0,5,3,3,1,3,1
vernite,dev.vernite.vernite.common.utils,SecureRandomUtils,36,0,2,0,7,0,4,0,3,0
vernite,dev.vernite.vernite.common.utils,StateManager.Item,24,0,2,0,2,0,5,0,4,0
vernite,dev.vernite.vernite.common.utils,StateManager,60,5,2,0,14,2,6,1,5,1
vernite,dev.vernite.vernite.integration.communicator.slack,SlackController,484,8,32,0,92,2,28,2,12,2
vernite,dev.vernite.vernite.integration.communicator.slack,MessageContainer,38,0,2,0,11,0,7,0,6,0
vernite,dev.vernite.vernite.integration.communicator.slack,SlackEventsController,4,0,0,0,2,0,1,0,1,0
vernite,dev.vernite.vernite.integration.communicator.slack,SlackConfiguration,82,44,6,0,20,10,5,3,2,3
vernite,dev.vernite.vernite.integration.communicator.slack,SlackExceptionHandler,5,0,0,0,1,0,1,0,1,0
vernite,dev.vernite.vernite.integration.communicator.slack,StateManager,101,8,6,0,19,2,11,1,8,1
vernite,dev.vernite.vernite.integration.communicator.slack,VerniteInstallationService,55,9,2,0,17,4,8,1,7,1
vernite,dev.vernite.vernite.integration.communicator.slack,StateManager.Container,15,0,0,0,1,0,3,0,3,0
vernite,dev.vernite.vernite.sprint,Sprint.Status,0,21,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.sprint,Sprint,18,150,0,16,5,39,1,15,1,7
vernite,dev.vernite.vernite.sprint,SprintController,4,104,0,0,0,19,1,6,1,6
vernite,dev.vernite.vernite.sprint,SprintEventProvider,0,44,0,0,0,7,0,4,0,4
vernite,dev.vernite.vernite.sprint,SprintRepository,0,100,0,2,0,14,0,7,0,6
vernite,dev.vernite.vernite.cdn,FileController,66,0,4,0,18,0,4,0,2,0
vernite,dev.vernite.vernite.cdn,File,4,0,0,0,1,0,1,0,1,0
vernite,dev.vernite.vernite.cdn,FileManager,60,3,2,0,18,1,3,1,2,1
vernite,dev.vernite.vernite.common.exception.error,AbstractError,0,5,0,0,0,2,0,1,0,1
vernite,dev.vernite.vernite.common.exception.error,NotFoundError,0,10,0,0,0,4,0,1,0,1
vernite,dev.vernite.vernite.common.exception.error,ConflictError,0,7,0,0,0,3,0,1,0,1
vernite,dev.vernite.vernite.common.exception.error,ExternalApiError,7,0,0,0,3,0,1,0,1,0
vernite,dev.vernite.vernite.common.exception.error,ValidationError,0,7,0,0,0,3,0,1,0,1
vernite,dev.vernite.vernite.projectworkspace,ProjectWorkspace,8,29,0,0,1,7,1,2,1,2
vernite,dev.vernite.vernite.projectworkspace,ProjectMember,0,62,0,14,0,11,0,11,0,4
